tahun,Garis Kemiskinan,Upah Minimum Provinsi,Pengeluaran,Upah_Rata_rata,Jenis_Pengeluaran_MAKANAN,Jenis_Pengeluaran_NONMAKANAN,Jenis_Pengeluaran_TOTAL,daerah_PERDESAAN,daerah_PERDESAANPERKOTAAN,daerah_PERKOTAAN,provinsi_Indonesia,provinsi_Indonesia Barat,provinsi_Indonesia Tengah,provinsi_Indonesia Timur
2019,479569.0,1.1635760019990846,0.27078921011124935,-0.3029112751863418,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,497615.0,1.1635760019990846,0.27078921011124935,-0.3029112751863418,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2019,486935.0,1.1635760019990846,0.6591761161222478,-0.3029112751863418,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,504414.0,1.1635760019990846,0.6591761161222478,-0.3029112751863418,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2019,501617.0,1.1635760019990846,1.466593133172109,-0.3029112751863418,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2019,517900.0,1.1635760019990846,1.466593133172109,-0.3029112751863418,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,396615.0,1.6159300900217342,-0.5432250191720466,0.5177338739016426,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,397816.0,1.6159300900217342,-0.5432250191720466,0.5177338739016426,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,397032.0,1.6159300900217342,-0.4623471442401908,0.5177338739016426,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,398316.0,1.6159300900217342,-0.4623471442401908,0.5177338739016426,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,398026.0,1.6159300900217342,-0.29434941664792186,0.5177338739016426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,399504.0,1.6159300900217342,-0.29434941664792186,0.5177338739016426,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,116270.0,1.6159300900217342,-1.0740299491026843,0.5177338739016426,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,116847.0,1.6159300900217342,-1.0740299491026843,0.5177338739016426,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,125093.0,1.6159300900217342,-0.7755681206120424,0.5177338739016426,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,125892.0,1.6159300900217342,-0.7755681206120424,0.5177338739016426,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,143425.0,1.6159300900217342,-0.15561342656455002,0.5177338739016426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,144182.0,1.6159300900217342,-0.15561342656455002,0.5177338739016426,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,512886.0,1.6159300900217342,0.5243787181286658,0.5177338739016426,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,514663.0,1.6159300900217342,0.5243787181286658,0.5177338739016426,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2020,522125.0,1.6159300900217342,0.9037184215511634,0.5177338739016426,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,524208.0,1.6159300900217342,0.9037184215511634,0.5177338739016426,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2020,541451.0,1.6159300900217342,1.6916680238694575,0.5177338739016426,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2020,543685.0,1.6159300900217342,1.6916680238694575,0.5177338739016426,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,406917.0,1.6159300900217342,-0.45584578893664357,0.23048102342984317,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,414738.0,1.6159300900217342,-0.45584578893664357,0.23048102342984317,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,410420.0,1.6159300900217342,-0.32714094463385324,0.23048102342984317,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,418296.0,1.6159300900217342,-0.32714094463385324,0.23048102342984317,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,418047.0,1.6159300900217342,-0.0711183621901743,0.23048102342984317,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,426126.0,1.6159300900217342,-0.0711183621901743,0.23048102342984317,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,122118.0,1.6159300900217342,-1.0740299491026843,0.23048102342984317,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,126262.0,1.6159300900217342,-1.0740299491026843,0.23048102342984317,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,130689.0,1.6159300900217342,-0.7482460762726338,0.23048102342984317,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,134643.0,1.6159300900217342,-0.7482460762726338,0.23048102342984317,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,147729.0,1.6159300900217342,-0.10018838583929635,0.23048102342984317,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,151144.0,1.6159300900217342,-0.10018838583929635,0.23048102342984317,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,529035.0,1.6159300900217342,0.6117551290426015,0.23048102342984317,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,541000.0,1.6159300900217342,0.6117551290426015,0.23048102342984317,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2021,541109.0,1.6159300900217342,1.0662466654969096,0.23048102342984317,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,552939.0,1.6159300900217342,1.0662466654969096,0.23048102342984317,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2021,565776.0,1.6159300900217342,1.970326938373926,0.23048102342984317,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2021,577270.0,1.6159300900217342,1.970326938373926,0.23048102342984317,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
